ID,UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
95,J-889,Q1083,12/29/1960 0:00:00,M,I,Q1083,r,1961,Removed,,4/25/1962 0:00:00,7.91,,1.33,,
96,K-228,Q1083,3/31/1962 0:00:00,F,I,Q1083,du**,1962,DEAD,9/27/1982 0:00:00,,9.16,20.50,,,
97,K-798,Q1083,3/6/1963 0:00:00,F,I,Q1083,dz**,1963,DEAD,8/13/1973 0:00:00,,10.16,10.41,,,
98,G-993,Q1083,2/8/1964 0:00:00,M,I,Q1083,dm,1964,DEAD,5/1/1972 0:00:00,,11.08,8.25,,,
99,F-658,Q1083,3/27/1967 0:00:00,M,I,Q1083,du**,1967,DEAD,12/1/1971 0:00:00,,14.16,4.75,,,
100,G-879,Q1082,4/28/1959 0:00:00,M,U,Q1082,d,1959,DEAD,3/9/1960 0:00:00,,3.25,0.91,,,
101,K-085,Q1082,2/8/1961 0:00:00,F,E,Q1082,dm,1961,DEAD,8/10/1962 0:00:00,,5.08,1.50,,,
102,K-592,Q1082,4/7/1962 0:00:00,M,E,Q1082,rs**,1962,Removed,,2/27/1984 0:00:00,6.25,,21.83,,
103,I-287,Q1082,3/13/1963 0:00:00,F,E,Q1082,dm,1963,DEAD,10/23/1963 0:00:00,,7.16,0.58,,,
104,K-616,Q1081,4/17/1960 0:00:00,M,E,Q1081,r,1960,Removed,,7/31/1961 0:00:00,4.25,,1.25,,
105,J-870,Q1081,4/2/1961 0:00:00,M,E,Q1081,rs,1961,Removed,,1/16/1984 0:00:00,5.25,,22.75,,
106,K-223,Q1081,4/27/1962 0:00:00,M,E,Q1081,rs**,1962,Removed,,4/5/1972 0:00:00,6.25,,10.00,,
107,I-286,Q1081,4/5/1963 0:00:00,M,E,Q1081,d,1963,DEAD,8/20/1963 0:00:00,,7.25,0.33,,,
108,K-718,Q1081,2/21/1964 0:00:00,F,E,Q1081,dh,1964,DEAD,4/16/1968 0:00:00,,8.08,4.16,,,
109,H-165,Q1081,5/10/1965 0:00:00,F,E,Q1081,rc,1965,Removed,,8/6/1971 0:00:00,9.33,,6.25,,
110,I-338,Q1081,4/17/1966 0:00:00,M,E,Q1081,dm,1966,DEAD,4/20/1967 0:00:00,,10.25,1.00,,,
111,F-668,Q1081,4/4/1967 0:00:00,M,E,Q1081,dz,1967,DEAD,5/5/1970 0:00:00,,11.25,3.08,,,
112,G-348,Q1081,6/17/1968 0:00:00,F,E,Q1081,rb,1968,Removed,,8/3/1971 0:00:00,12.41,,3.16,,
113,F-452,Q1081,4/14/1969 0:00:00,F,E,Q1081,rk,1969,Removed,,8/3/1971 0:00:00,13.25,,2.33,,
114,I-513,Q1081,4/23/1970 0:00:00,M,E,Q1081,di,1970,DEAD,5/18/1970 0:00:00,,14.25,0.08,,,
115,G-887,Q1080,5/22/1959 0:00:00,F,U,Q1080,rc,1959,Removed,,12/9/1968 0:00:00,3.33,,9.58,,
116,K-217,Q1080,2/3/1961 0:00:00,F,C,Q1080,rc,1961,Removed,,4/15/1969 0:00:00,5.08,,8.16,,
117,K-609,Q1080,3/14/1962 0:00:00,M,C,Q1080,du**,1962,DEAD,3/31/1975 0:00:00,,6.16,13.00,,,
118,K-846,Q1080,2/27/1963 0:00:00,F,C,Q1080,du,1963,DEAD,10/9/1967 0:00:00,,7.08,4.66,,,
119,K-704,Q1080,2/11/1964 0:00:00,M,C,Q1080,rs,1964,Removed,,10/10/1972 0:00:00,8.08,,8.66,,
120,G-939,Q1080,3/30/1965 0:00:00,F,C,Q1080,dm,1965,DEAD,1/13/1969 0:00:00,,9.16,3.83,,,
121,K-697,Q1080,2/25/1966 0:00:00,F,C,Q1080,rc,1966,Removed,,3/10/1969 0:00:00,10.08,,3.08,,
122,G-785,Q1078,3/20/1958 0:00:00,M,U,Q1078,rs**,1958,Removed,,8/2/1972 0:00:00,5.16,,14.41,,
123,J-971,Q1078,3/17/1959 0:00:00,F,U,Q1078,rt,1959,Removed,,11/9/1965 0:00:00,6.16,,6.66,,
124,H-203,Q1078,2/29/1960 0:00:00,F,A,Q1078,rt,1960,Removed,,11/9/1965 0:00:00,7.08,,5.75,,
125,K-063,Q1078,3/4/1961 0:00:00,F,A,Q1078,rt,1961,Removed,,11/9/1965 0:00:00,8.16,,4.66,,
126,K-613,Q1078,3/15/1962 0:00:00,M,A,Q1078,rt,1962,Removed,,11/1/1965 0:00:00,9.16,,3.66,,
