UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
K-321,Q1086,1966/04/22,M,A,Q1086,rs,1966,Removed,,1971/11/05,14.25,,5.58,,
F-554,Q1086,1967/03/23,M,A,Q1086,du,1967,DEAD,1969/12/10,,15.16,2.75,,,
G-119,Q1086,1968/04/12,F,A,Q1086,rs,1968,Removed,,1971/11/05,16.25,,3.58,,
K-391,Q1084,1957/01/01,M,U,Q1084,rs**,1957,Removed,,1972/08/28,5.00,,15.58,,
G-675,Q1084,1959/03/03,M,U,Q1084,re,1959,Removed,,1966/06/25,7.16,,7.25,,
J-765,Q1084,1960/02/17,M,C,Q1084,r,1960,Removed,,1961/08/03,8.08,,1.50,,
K-219,Q1084,1961/01/20,F,C,Q1084,rc,1961,Removed,,1969/04/23,9.00,,8.25,,
I-266,Q1084,1962/02/24,F,C,Q1084,dm,1962,DEAD,1962/10/08,,10.08,0.66,,,
K-797,Q1084,1963/01/22,F,C,Q1084,rc,1963,Removed,,1968/12/02,11.00,,5.91,,
K-303,Q1084,1964/02/15,F,C,Q1084,rc,1964,Removed,,1969/04/02,12.08,,5.16,,
K-390,Q1083,1957/01/01,M,U,Q1083,dm,1957,DEAD,1960/01/01,,4.00,3.00,,,
G-464,Q1083,1958/03/15,M,U,Q1083,rk**,1958,Removed,,1971/09/27,5.16,,13.50,,
G-683,Q1083,1959/04/17,F,U,Q1083,dm,1959,DEAD,1989/10/03,,6.25,30.50,,,
I-242,Q1083,1960/03/17,M,G,Q1083,d,1960,DEAD,1960/03/17,,7.16,0.00,,,
J-889,Q1083,1960/12/29,M,I,Q1083,r,1961,Removed,,1962/04/25,7.91,,1.33,,
K-228,Q1083,1962/03/31,F,I,Q1083,du**,1962,DEAD,1982/09/27,,9.16,20.50,,,
K-798,Q1083,1963/03/06,F,I,Q1083,dz**,1963,DEAD,1973/08/13,,10.16,10.41,,,
G-993,Q1083,1964/02/08,M,I,Q1083,dm,1964,DEAD,1972/05/01,,11.08,8.25,,,
F-658,Q1083,1967/03/27,M,I,Q1083,du**,1967,DEAD,1971/12/01,,14.16,4.75,,,
G-879,Q1082,1959/04/28,M,U,Q1082,d,1959,DEAD,1960/03/09,,3.25,0.91,,,
K-085,Q1082,1961/02/08,F,E,Q1082,dm,1961,DEAD,1962/08/10,,5.08,1.50,,,
K-592,Q1082,1962/04/07,M,E,Q1082,rs**,1962,Removed,,1984/02/27,6.25,,21.83,,
I-287,Q1082,1963/03/13,F,E,Q1082,dm,1963,DEAD,1963/10/23,,7.16,0.58,,,
K-616,Q1081,1960/04/17,M,E,Q1081,r,1960,Removed,,1961/07/31,4.25,,1.25,,
J-870,Q1081,1961/04/02,M,E,Q1081,rs,1961,Removed,,1984/01/16,5.25,,22.75,,
K-223,Q1081,1962/04/27,M,E,Q1081,rs**,1962,Removed,,1972/04/05,6.25,,10.00,,
I-286,Q1081,1963/04/05,M,E,Q1081,d,1963,DEAD,1963/08/20,,7.25,0.33,,,
K-718,Q1081,1964/02/21,F,E,Q1081,dh,1964,DEAD,1968/04/16,,8.08,4.16,,,
H-165,Q1081,1965/05/10,F,E,Q1081,rc,1965,Removed,,1971/08/06,9.33,,6.25,,
I-338,Q1081,1966/04/17,M,E,Q1081,dm,1966,DEAD,1967/04/20,,10.25,1.00,,,
F-668,Q1081,1967/04/04,M,E,Q1081,dz,1967,DEAD,1970/05/05,,11.25,3.08,,,
G-348,Q1081,1968/06/17,F,E,Q1081,rb,1968,Removed,,1971/08/03,12.41,,3.16,,
F-452,Q1081,1969/04/14,F,E,Q1081,rk,1969,Removed,,1971/08/03,13.25,,2.33,,
I-513,Q1081,1970/04/23,M,E,Q1081,di,1970,DEAD,1970/05/18,,14.25,0.08,,,
G-887,Q1080,1959/05/22,F,U,Q1080,rc,1959,Removed,,1968/12/09,3.33,,9.58,,
K-217,Q1080,1961/02/03,F,C,Q1080,rc,1961,Removed,,1969/04/15,5.08,,8.16,,
K-609,Q1080,1962/03/14,M,C,Q1080,du**,1962,DEAD,1975/03/31,,6.16,13.00,,,
K-846,Q1080,1963/02/27,F,C,Q1080,du,1963,DEAD,1967/10/09,,7.08,4.66,,,
K-704,Q1080,1964/02/11,M,C,Q1080,rs,1964,Removed,,1972/10/10,8.08,,8.66,,
G-939,Q1080,1965/03/30,F,C,Q1080,dm,1965,DEAD,1969/01/13,,9.16,3.83,,,
K-697,Q1080,1966/02/25,F,C,Q1080,rc,1966,Removed,,1969/03/10,10.08,,3.08,,
G-785,Q1078,1958/03/20,M,U,Q1078,rs**,1958,Removed,,1972/08/02,5.16,,14.41,,
J-971,Q1078,1959/03/17,F,U,Q1078,rt,1959,Removed,,1965/11/09,6.16,,6.66,,
H-203,Q1078,1960/02/29,F,A,Q1078,rt,1960,Removed,,1965/11/09,7.08,,5.75,,
K-063,Q1078,1961/03/04,F,A,Q1078,rt,1961,Removed,,1965/11/09,8.16,,4.66,,
K-613,Q1078,1962/03/15,M,A,Q1078,rt,1962,Removed,,1965/11/01,9.16,,3.66,,
K-802,Q1078,1963/02/18,F,A,Q1078,rt,1963,Removed,,1965/11/09,10.08,,2.75,,
H-117,Q1078,1964/02/04,F,A,Q1078,rt,1964,Removed,,1965/11/15,11.08,,1.75,,
I-315,Q1078,1965/02/09,F,A,Q1078,rt,1965,Removed,,1966/07/26,12.08,,1.41,,
G-580,Q1077,1959/03/18,F,U,Q1077,rk**,1959,Removed,,1972/03/13,4.16,,13.00,,
J-881,Q1077,1961/01/06,F,A,Q1077,rs**,1961,Removed,,1972/03/13,6.00,,11.16,,
K-615,Q1077,1962/03/08,F,A,Q1077,dz?,1962,DEAD,1970/02/26,,7.16,7.91,,,
K-811,Q1077,1963/02/15,F,A,Q1077,rk**,1963,Removed,,1972/03/13,8.08,,9.08,,
K-924,Q1077,1964/02/15,M,A,Q1077,du**,1964,DEAD,1975/10/26,,9.08,11.66,,,
I-314,Q1077,1965/03/01,F,A,Q1077,d,1965,DEAD,1965/10/25,,10.16,0.58,,,
K-753,Q1077,1966/02/21,F,A,Q1077,du,1966,DEAD,1968/03/25,,11.08,2.08,,,
F-543,Q1077,1967/02/20,M,A,Q1077,rk**,1967,Removed,,1972/02/14,12.08,,5.00,,
G-011,Q1077,1968/04/01,F,A,Q1077,rs**,1968,Removed,,1972/03/13,13.25,,3.91,,
F-438,Q1077,1969/03/09,M,A,Q1077,rk**,1969,Removed,,1972/02/14,14.16,,2.91,,
