UniCode,FounderCode,DateOfBirth,Sex,BirthGroup,MomUnicode,CurrentGroup,BirthSeason,Status,DateOfDeath,DateOfRemove,AgeOfDelivery,AgeOfDOD,AgeOfRemove,SireUniCode,DamUniCode
C-822,,1999/11/02,M,E,F-036,E,2000,Removed,,2002/02/22,13.83,,2.25,F-336,F-036
D-710,,1999/11/03,F,D,F-359,D,2000,Removed,,2002/02/08,7.66,,2.25,F-334,F-359
B-890,,1999/11/03,F,D,F-251,S,2000,Removed,,2002/02/06,9.66,,2.25,F-152,F-251
C-802,,1999/11/03,F,B,E-693,B,2000,Removed,,2002/01/23,17.83,,2.16,E-692,E-693
D-732,,1999/11/04,M,S,A-114,R,2000,Dead,2012/06/15,,7.83,12.58,,F-272,A-114
E-046,,1999/11/04,F,D,F-366,D,2000,Removed,,2002/02/08,7.83,,2.25,F-101,F-366
E-070,,1999/11/05,M,D,F-374,D,2000,Removed,,2002/02/08,7.91,,2.25,A-883,F-374
D-172,,1999/11/06,M,B,B-450,B,2000,Removed,,2002/01/23,6.91,,2.16,F-233,B-450
H-245,,1999/11/09,M,F,F-020,du,2000,DEAD,1999/11/29,,14.75,0.00,,,
A-488,,1999/11/11,M,S,E-995,V,2000,In CS,,,14.83,,,D-638,E-995
E-132,,1999/11/11,F,B,B-800,B,2000,Removed,,2002/02/01,5.91,,2.25,F-233,B-800
C-823,,1999/11/11,F,D,F-145,D,2000,Removed,,2002/03/12,11.66,,2.33,F-237,F-145
A-584,,1999/11/11,F,R,F-327,R,2000,Removed,,2006/02/24,8.58,,6.25,F-372,F-327
E-002,,1999/11/11,M,D,F-145,D,2000,Removed,,2002/02/08,11.66,,2.25,F-237,F-145
B-850,,1999/11/11,M,S,E-682,HH,2000,Removed,,2016/11/10,17.75,,17.00,E-100,E-682
H-230,,1999/11/11,F,E,A-133,dm,2000,DEAD,2000/07/11,,7.66,0.66,,,
H-227,,1999/11/11,M,R,A-039,ds,2000,DEAD,1999/11/11,,7.83,0.00,,,
B-909,,1999/11/12,M,S,F-249,F,2000,Dead,2020/03/28,,9.75,20.33,,D-638,F-249
C-278,,1999/11/13,F,C,F-361,C,2000,Removed,,2002/01/17,7.83,,2.16,D-638,F-361
A-088,,1999/11/14,F,F,F-339,F,2000,Dead,2009/02/06,,7.91,9.25,,C-247,F-339
B-973,,1999/11/15,M,C,F-171,C,2000,Removed,,2002/02/06,10.75,,2.25,B-961,F-171
A-451,,1999/11/17,M,F,B-472,KK,2000,Removed,,2002/01/17,4.91,,2.16,F-336,B-472
B-062,,1999/11/17,M,H,F-281,nLL,2000,Dead,2001/12/31,,9.83,2.08,,A-572,F-281
A-622,,1999/11/17,F,F,F-019,F,2000,Removed,,2002/01/23,14.50,,2.16,F-182,F-019
H-242,,1999/11/17,M,BB,D-721,du,2000,DEAD,2000/07/06,,7.00,0.66,,,
E-023,,1999/11/18,M,D,F-310,D,2000,Removed,,2002/02/06,8.66,,2.25,F-334,F-310
E-110,,1999/11/18,M,D,E-746,D,2000,Removed,,2002/02/06,16.83,,2.25,D-638,E-746
D-192,,1999/11/18,M,R,F-256,R,2000,Dead,2001/12/31,,9.83,2.08,,F-358,F-256
D-229,,1999/11/19,F,R,C-833,R,2000,Dead,2018/01/25,,5.83,18.16,,F-108,C-833
B-870,,1999/11/19,F,D,F-093,D,2000,Removed,,2002/02/08,12.83,,2.25,A-900,F-093
H-265,,1999/11/19,F,F,F-307,du,2000,DEAD,2000/02/01,,8.83,0.25,,,
H-228,,1999/11/19,M,I,A-076,du,2000,DEAD,2000/11/13,,7.66,1.00,,,
C-342,,1999/11/20,M,F,B-412,KK,2000,Removed,,2002/01/23,6.91,,2.16,C-352,B-412
A-164,,1999/11/20,M,F,F-269,F,2000,Dead,2006/09/14,,9.58,6.83,,F-325,F-269
H-231,,1999/11/20,F,F,A-517,dm,2000,DEAD,2001/12/31,,5.75,2.08,,,
C-862,,1999/11/21,M,BB,E-035,BB,2000,Removed,,2002/01/17,6.66,,2.16,F-233,E-035
C-801,,1999/11/22,F,C,E-689,C,2000,Removed,,2002/01/23,17.66,,2.16,B-961,E-689
B-931,,1999/11/23,M,R,F-353,R,2000,Dead,2001/12/31,,7.83,2.08,,F-358,F-353
H-244,,1999/11/23,M,B,E-735,ds,2000,Stillbirth,1999/11/23,,16.83,0.00,,,
E-133,,1999/11/24,F,F,F-003,F,2000,Removed,,2002/02/28,14.75,,2.25,D-703,F-003
H-256,,1999/11/24,F,V,F-214,dm,2000,DEAD,2001/12/31,,10.83,2.08,,,
A-929,,1999/11/25,F,F,D-260,L,2000,Removed,,2002/01/17,6.75,,2.16,C-352,D-260
B-357,,1999/11/25,F,F,C-769,KK,2000,Removed,,2002/01/23,7.00,,2.16,F-284,C-769
A-125,,1999/11/26,M,F,E-992,HH,2000,Removed,,2002/01/30,14.75,,2.16,D-240,E-992
C-300,,1999/11/26,M,F,F-154,S,2000,Dead,2020/02/26,,11.83,20.25,,F-284,F-154
A-988,,1999/11/26,F,F,F-154,F,2000,Dead,2006/10/05,,11.83,6.91,,F-284,F-154
A-930,,1999/11/26,M,F,C-330,HH,2000,Removed,,2002/01/30,6.83,,2.16,B-013,C-330
A-069,,1999/11/26,M,F,D-722,S,2000,Dead,2017/12/11,,6.00,18.08,,F-182,D-722
B-333,,1999/11/27,M,F,D-286,F,2000,Dead,2001/12/31,,5.75,2.08,,C-247,D-286
H-236,,1999/11/27,F,R,B-392,du,2000,DEAD,1999/12/06,,5.83,0.08,,,
C-299,,1999/11/28,M,F,F-175,F,2000,Removed,,2002/01/29,10.83,,2.16,E-719,F-175
D-111,,1999/11/28,F,B,A-459,B,2000,Removed,,2002/01/23,5.83,,2.16,D-971,A-459
D-211,,1999/11/29,F,R,F-028,R,2000,Removed,,2002/02/26,13.83,,2.25,F-358,F-028
D-271,,1999/11/29,M,I,A-497,I,2000,Removed,,2002/01/23,5.91,,2.16,F-332,A-497
H-259,,1999/11/29,M,F,F-282,dm,2000,DEAD,2001/12/31,,8.83,2.08,,,
H-251,,1999/11/29,F,S,F-144,ds,2000,Stillbirth,1999/11/11,,11.91,0.00,,,
H-250,,1999/11/29,F,R,F-142,dm,2000,DEAD,2001/12/31,,11.75,2.08,,,
E-175,,1999/11/30,M,F,B-942,KK,2000,Dead,2018/03/06,,6.75,18.33,,C-247,B-942
C-321,,1999/12/01,F,B,A-498,B,2000,Removed,,2002/01/30,4.91,,2.08,F-316,A-498
B-953,,1999/12/01,F,R,F-169,R,2000,Dead,2017/10/06,,11.91,17.83,,F-291,F-169
D-650,,1999/12/01,M,R,F-052,R,2000,Removed,,2002/02/08,13.91,,2.16,F-211,F-052
B-043,,1999/12/01,F,F,F-333,F,2000,Dead,2012/05/11,,7.75,12.41,,F-182,F-333
A-013,,1999/12/01,F,F,D-973,F,2000,Dead,2018/12/19,,4.91,19.00,,C-352,D-973
C-380,,1999/12/02,M,B,B-470,B,2000,Removed,,2002/01/23,6.91,,2.08,F-017,B-470
C-843,,1999/12/02,M,S,F-030,HH,2000,Dead,2009/06/22,,13.75,9.50,,D-638,F-030
B-382,,1999/12/02,F,C,D-576,C,2000,Removed,,2002/01/17,5.91,,2.08,B-372,D-576
B-334,,1999/12/02,F,F,F-296,HH,2000,Dead,2010/11/02,,8.91,10.91,,F-337,F-296
H-232,,1999/12/02,F,R,A-536,ds,2000,Stillbirth,1999/12/02,,5.83,0.00,,,
D-607,,1999/12/03,M,R,F-331,R,2000,Dead,2013/12/16,,8.91,14.00,,F-358,F-331
B-889,,1999/12/03,M,F,F-338,F,2000,Dead,2001/10/17,,8.00,1.83,,F-284,F-338
C-736,,1999/12/03,M,F,F-109,KK,2000,Dead,2001/12/13,,12.91,2.00,,B-371,F-109
B-501,,1999/12/03,F,F,C-350,F,2000,Removed,,2002/01/17,6.83,,2.08,E-692,C-350
H-255,,1999/12/04,F,R,F-207,dm,2000,DEAD,2001/12/31,,10.83,2.00,,,
D-545,,1999/12/05,M,R,F-303,R,2000,Removed,,2002/02/20,8.91,,2.16,F-108,F-303
H-249,,1999/12/05,M,C,F-140,dm,2000,DEAD,2001/12/31,,12.00,2.00,,,
D-132,,1999/12/06,F,R,F-069,R,2000,Dead,2002/02/01,,12.91,2.16,,F-108,F-069
G-001,,1999/12/06,M,R,E-666,rs,2000,Removed,,2002/02/06,18.66,,2.16,,
H-237,,1999/12/06,M,R,B-431,dm,2000,DEAD,2000/07/03,,6.91,0.58,,,
A-032,,1999/12/07,F,F,F-033,F,2000,Removed,,2002/01/23,14.00,,2.08,C-247,F-033
E-090,,1999/12/07,F,BB,F-138,BB,2000,Removed,,2002/03/21,11.83,,2.25,E-744,F-138
A-912,,1999/12/08,M,R,E-099,R,2000,Removed,,2002/02/26,6.91,,2.16,F-070,E-099
D-173,,1999/12/08,F,R,B-031,R,2000,Dead,2001/06/27,,7.66,1.50,,F-070,E-666
C-381,,1999/12/08,M,R,B-346,R,2000,Removed,,2002/02/06,7.91,,2.16,F-167,B-346
A-165,,1999/12/10,M,R,F-265,HH,2000,Dead,2009/06/11,,9.91,9.50,,F-248,F-265
C-238,,1999/12/11,M,C,B-778,C,2000,Removed,,2002/01/17,7.00,,2.08,F-288,B-778
A-487,,1999/12/11,M,F,F-044,F,2000,Removed,,2001/01/23,13.83,,1.08,C-768,F-044
B-972,,1999/12/13,M,F,D-164,R,2000,Dead,2018/03/29,,5.66,18.25,,F-182,D-164
H-233,,1999/12/14,F,E,A-884,dm,2000,DEAD,2001/12/31,,4.83,2.00,,,
H-240,,1999/12/14,F,F,D-163,dm,2000,DEAD,2001/12/31,,5.91,2.00,,,
A-106,,1999/12/15,F,F,C-371,F,2000,Removed,,2002/01/23,6.91,,2.08,D-970,C-371
A-547,,1999/12/16,F,R,C-311,R,2000,Dead,2014/10/06,,7.00,14.83,,F-233,C-311
D-251,,1999/12/16,F,R,E-754,R,2000,Removed,,2002/02/08,15.58,,2.16,F-233,E-754
D-272,,1999/12/16,M,R,F-227,BB,2000,Removed,,2004/02/27,10.91,,4.16,F-233,
C-279,,1999/12/16,M,R,D-222,R,2000,Dead,2001/12/31,,5.00,2.00,,F-211,D-222
A-050,,1999/12/17,M,F,F-344,F,2000,Removed,,2002/02/01,7.91,,2.16,E-428,F-344
A-508,,1999/12/17,M,F,F-041,F,2000,Removed,,2002/01/17,13.83,,2.08,F-337,F-041
E-001,,1999/12/17,M,F,F-261,KK,2000,Removed,,2002/01/17,9.91,,2.08,B-371,F-261
H-267,,1999/12/17,M,F,F-328,dm,2000,DEAD,2001/12/31,,9.00,2.00,,,
B-004,,1999/12/18,F,F,F-305,F,2000,Dead,2001/02/13,,9.08,1.16,,D-703,F-305
C-717,,1999/12/18,F,F,F-186,F,2000,Removed,,2002/01/23,11.00,,2.08,F-325,F-186
B-063,,1999/12/18,M,F,C-313,F,2000,Removed,,2002/01/23,5.00,,2.08,C-310,C-313
B-461,,1999/12/18,F,F,D-574,F,2000,Removed,,2002/01/23,6.91,,2.08,F-236,D-574
H-264,,1999/12/18,F,F,F-305,dm,2000,DEAD,2001/12/31,,9.08,2.00,,,
A-507,,1999/12/19,M,F,A-058,R,2000,Dead,2014/08/15,,6.91,14.66,,,A-058
D-565,,1999/12/19,F,F,B-818,F,2000,Dead,2003/12/09,,6.91,4.00,,E-768,B-818
E-069,,1999/12/19,M,D,F-114,D,2000,Removed,,2002/02/08,13.00,,2.16,E-764,F-114
H-268,,1999/12/19,M,F,F-341,dm,2000,DEAD,2001/12/31,,7.91,2.00,,,
D-546,,1999/12/20,F,G,C-248,G,2000,Removed,,2002/02/08,6.91,,2.16,F-334,C-248
D-295,,1999/12/20,M,D,B-919,D,2000,Removed,,2002/02/06,6.91,,2.16,B-839,B-919
D-131,,1999/12/20,M,F,F-210,F,2000,Removed,,2002/01/23,10.75,,2.08,D-970,F-210
D-671,,1999/12/20,M,G,F-322,G,2000,Removed,,2002/02/08,8.91,,2.16,,F-322
D-693,,1999/12/20,F,G,F-146,G,2000,Removed,,2002/02/08,11.91,,2.16,F-334,F-146
D-112,,1999/12/20,M,R,F-215,R,2000,Dead,2001/12/31,,10.91,2.00,,F-108,F-215
E-155,,1999/12/20,F,F,C-353,F,2000,Removed,,2002/01/23,4.75,,2.08,C-352,C-353
B-044,,1999/12/20,M,C,E-145,C,2000,Removed,,2002/01/17,4.91,,2.08,B-372,E-145
B-024,,1999/12/20,F,B,F-301,B,2000,Removed,,2002/01/17,9.00,,2.08,F-034,F-301
G-178,,1999/12/20,M,G,F-360,rs,2000,Removed,,2002/02/14,8.00,,2.16,,
A-469,,1999/12/20,F,F,F-283,KK,2000,Dead,2011/02/24,,8.83,11.16,,,F-283
H-266,,1999/12/20,M,S,F-315,du,2000,DEAD,2000/05/23,,8.91,0.41,,,
A-949,,1999/12/21,M,H,E-424,H,2000,Removed,,2002/01/30,20.58,,2.08,F-083,E-424
B-064,,1999/12/21,M,R,A-441,V,2000,Dead,2009/11/07,,5.91,9.91,,F-167,A-441
H-258,,1999/12/21,M,R,F-271,du,2000,DEAD,2000/02/22,,9.83,0.16,,,
B-952,,1999/12/22,M,F,C-410,S,2000,In CS,,,7.08,,,F-182,C-410
H-260,,1999/12/22,F,H,F-285,dm,2000,DEAD,2001/12/31,,8.91,2.00,,,
A-182,,1999/12/23,M,F,F-343,F,2000,Removed,,2002/01/23,8.00,,2.08,F-101,F-343
D-250,,1999/12/23,M,R,C-813,R,2000,Removed,,2002/02/06,5.91,,2.16,F-135,C-813
C-676,,1999/12/25,M,B,B-348,B,2000,Removed,,2002/01/23,4.75,,2.08,F-316,B-348
H-262,,1999/12/25,M,I,F-287,dm,2000,DEAD,2001/12/31,,8.83,2.00,,,
H-253,,1999/12/25,U,I,F-158,dm,2000,DEAD,2000/01/04,,11.83,0.08,,,
C-675,,1999/12/26,M,F,A-020,V,2000,Dead,2012/03/20,,6.50,12.25,,F-337,A-020
B-789,,1999/12/26,F,F,C-748,F,2000,Dead,2020/05/03,,6.66,20.41,,F-337,C-748
C-239,,1999/12/26,M,G,B-414,G,2000,Removed,,2002/02/08,4.91,,2.16,F-298,B-414
C-422,,1999/12/26,M,C,C-335,C,2000,Removed,,2002/01/17,3.91,,2.08,E-692,C-335
H-238,,1999/12/26,M,R,B-435,dm,2000,DEAD,2001/12/31,,3.91,2.00,,,
H-252,,1999/12/26,F,F,F-156,du,2000,DEAD,2000/08/07,,11.83,0.66,,,
H-248,,1999/12/26,F,R,F-126,dm,2000,DEAD,2001/12/31,,11.91,2.00,,,
B-908,,1999/12/27,F,F,F-377,F,2000,Removed,,2002/01/23,8.00,,2.08,D-240,F-377
C-781,,1999/12/27,M,B,C-250,B,2000,Removed,,2002/02/21,4.91,,2.16,D-285,C-250
C-694,,1999/12/27,M,F,F-364,F,2000,Removed,,2002/01/24,7.91,,2.08,F-284,F-364
D-296,,1999/12/27,M,J,F-352,J,2000,Removed,,2002/02/06,7.91,,2.16,F-288,F-352
D-210,,1999/12/27,F,R,F-278,R,2000,Dead,2010/03/18,,10.00,10.25,,F-108,F-278
A-911,,1999/12/27,F,F,F-132,HH,2000,Dead,2015/10/05,,11.91,15.83,,F-349,F-132
E-154,,1999/12/27,F,BB,F-073,BB,2000,Removed,,2002/01/23,12.91,,2.08,D-285,F-073
D-629,,1999/12/27,F,I,A-095,I,2000,Removed,,2002/01/23,7.75,,2.08,C-352,A-095
H-269,,1999/12/27,M,F,F-364,dm,2000,DEAD,2001/12/31,,7.91,2.00,,,
H-246,,1999/12/27,M,F,F-046,ds,2000,Stillbirth,1999/12/27,,13.83,0.00,,,
B-423,,1999/12/28,F,F,F-038,F,2000,Dead,2017/04/27,,13.66,17.33,,F-182,F-038
D-193,,1999/12/28,F,R,B-370,R,2000,Removed,,2006/02/03,6.91,,6.16,F-372,B-370
E-022,,1999/12/28,M,C,C-289,C,2000,Removed,,2002/01/17,6.91,,2.08,B-961,C-289
A-546,,1999/12/28,M,F,E-014,F,2000,Dead,2007/04/18,,5.00,7.33,,E-690,E-014
H-235,,1999/12/28,M,F,B-325,dm,2000,DEAD,2001/12/31,,4.91,2.00,,,
D-649,,1999/12/29,M,C,B-509,C,2000,Removed,,2002/01/17,7.08,,2.08,A-976,B-509
E-176,,1999/12/30,F,F,F-185,KK,2000,Dead,2011/07/05,,11.00,11.58,,D-240,F-185
B-828,,1999/12/30,F,F,F-037,nPP,2000,Dead,2020/11/09,,13.83,20.91,,E-988,F-037
A-950,,1999/12/30,M,F,D-555,HH,2000,Removed,,2002/01/30,5.83,,2.08,E-692,D-555
A-146,,2000/01/01,M,J,F-027,J,2000,Removed,,2002/01/17,14.00,,2.00,F-240,F-027
B-442,,2000/01/01,F,F,F-119,F,2000,Dead,2017/03/27,,13.00,17.16,,E-767,F-119
H-254,,2000/01/01,U,?,F-178,?,2000,?,,,11.00,,,,
H-234,,2000/01/02,M,J,A-978,du,2000,DEAD,2000/01/10,,5.00,0.00,,,
B-869,,2000/01/03,M,F,F-329,F,2000,Dead,2002/06/24,,9.08,2.41,,E-679,F-329
D-980,,2000/01/03,M,J,F-208,J,2000,Removed,,2002/03/06,11.00,,2.16,F-240,F-208
B-480,,2000/01/03,F,I,F-184,I,2000,Removed,,2002/01/23,10.91,,2.00,F-349,F-184
B-042,,2000/01/04,M,V,F-229,V,2000,Removed,,2002/02/01,10.91,,2.08,F-078,F-229
B-356,,2000/01/04,F,V,F-099,V,2000,Dead,2014/02/04,,13.00,14.08,,F-312,F-099
A-987,,2000/01/04,F,V,F-317,V,2000,Dead,2010/03/15,,9.00,10.16,,B-780,F-317
A-970,,2000/01/04,F,V,F-031,V,2000,Dead,2003/04/10,,14.00,3.25,,A-000,F-031
A-951,,2000/01/04,F,V,F-258,V,2000,Removed,,2002/03/14,9.91,,2.16,C-269,
B-332,,2000/01/04,M,V,F-102,R,2000,In CS,,,13.00,,,F-335,F-102
D-731,,2000/01/05,F,S,F-123,S,2000,Dead,2010/03/19,,12.08,10.16,,A-153,F-123
H-247,,2000/01/05,F,J,F-124,du,2000,DEAD,2000/01/19,,12.00,0.00,,,
A-931,,2000/01/06,M,V,F-214,R,2000,Dead,2012/07/09,,11.00,12.50,,F-335,A-495
E-047,,2000/01/06,F,G,K-914,G,2000,Removed,,2002/02/08,8.00,,2.08,F-298,K-914
C-400,,2000/01/06,M,F,F-177,F,2000,Removed,,2002/01/23,10.91,,2.00,C-247,F-177
C-780,,2000/01/06,F,F,F-351,KK,2000,Dead,2001/12/31,,7.91,1.91,,B-347,F-351
D-230,,2000/01/06,M,R,F-066,R,2000,Removed,,2002/02/06,12.91,,2.08,F-233,F-066
A-969,,2000/01/06,M,V,A-538,V,2000,Dead,2001/12/31,,5.00,1.91,,F-313,A-538
H-229,,2000/01/06,M,D,A-097,dm,2000,DEAD,2001/12/31,,4.91,1.91,,,
H-257,,2000/01/06,M,F,F-270,dm,2000,DEAD,2001/12/31,,10.00,1.91,,,
A-107,,2000/01/07,M,F,F-157,KK,2000,Dead,2001/12/31,,12.00,1.91,,B-371,F-157
A-563,,2000/01/07,M,F,E-828,HH,2000,Dead,2010/03/17,,16.00,10.16,,E-767,E-828
A-986,,2000/01/08,M,V,A-496,R,2000,In CS,,,7.00,,,F-335,A-496
B-422,,2000/01/08,M,HH,D-262,BB,2000,Removed,,2004/03/02,6.08,,4.16,F-336,D-262
B-930,,2000/01/09,F,F,F-048,F,2000,Dead,2008/12/01,,14.00,8.91,,F-284,F-048
C-718,,2000/01/09,F,BB,C-856,BB,2000,Removed,,2002/02/08,4.00,,2.08,A-592,C-856
H-261,,2000/01/10,U,E,F-286,dm,2000,DEAD,2000/01/28,,9.08,0.00,,,
B-500,,2000/01/11,M,F,E-743,X,2000,Dead,2008/05/09,,16.91,8.33,,D-240,E-743
H-263,,2000/01/11,F,R,F-302,du,2000,DEAD,2000/01/26,,8.91,0.00,,,
A-528,,2000/01/12,F,R,F-299,R,2000,Removed,,2002/02/26,8.91,,2.08,E-421,F-299
E-111,,2000/01/12,F,F,F-162,L,2000,Dead,2001/12/31,,11.91,1.91,,F-182,F-162
B-401,,2000/01/12,F,F,F-148,nLL,2000,Dead,2001/03/26,,12.00,1.16,,F-284,F-148
C-259,,2000/01/12,F,G,D-598,G,2000,Removed,,2002/02/06,6.16,,2.08,F-334,D-598
A-968,,2000/01/12,M,H,F-235,H,2000,Removed,,2002/01/23,9.91,,2.00,F-323,F-235
B-402,,2000/01/13,M,F,E-164,F,2000,Removed,,2002/01/17,7.08,,2.00,E-690,E-164
C-757,,2000/01/13,F,CC,F-252,CC,2000,Removed,,2002/01/17,9.91,,2.00,B-961,F-252
D-152,,2000/01/13,F,S,F-250,S,2000,Removed,,2003/06/30,9.91,,3.41,E-716,F-250
A-452,,2000/01/14,M,V,F-022,V,2000,Removed,,2002/02/01,14.83,,2.08,F-312,F-022
C-401,,2000/01/14,F,F,F-107,KK,2000,Dead,2010/03/08,,12.91,10.16,,F-292,F-107
B-849,,2000/01/17,M,F,B-510,F,2000,Removed,,2002/01/23,6.91,,2.00,F-337,B-510
C-341,,2000/01/19,M,B,F-356,B,2000,Removed,,2002/02/06,8.08,,2.08,F-288,F-356
A-470,,2000/01/19,M,F,A-901,F,2000,Removed,,2002/02/01,6.00,,2.08,F-337,A-901
A-012,,2000/01/20,F,F,E-038,F,2000,Removed,,2002/01/17,4.91,,2.00,C-269,E-038
B-807,,2000/01/20,M,F,F-198,F,2000,Removed,,2002/01/30,10.75,,2.00,E-738,F-198
D-630,,2000/01/20,F,S,B-817,S,2000,Dead,2005/10/18,,7.08,5.75,,F-244,B-817
C-842,,2000/01/21,M,F,F-234,F,2000,Removed,,2002/01/23,9.91,,2.00,F-182,F-234
A-145,,2000/01/22,F,F,C-684,F,2000,Removed,,2002/01/23,7.00,,2.00,C-247,C-684
H-243,,2000/01/22,U,R,E-079,du,2000,DEAD,2000/02/28,,7.00,0.08,,,
A-583,,2000/01/23,M,F,F-187,F,2000,Removed,,2002/02/08,10.91,,2.08,F-370,F-187
D-670,,2000/01/25,M,R,D-990,F,2000,Dead,2010/04/22,,7.08,10.25,,F-167,D-990
A-602,,2000/01/25,M,F,F-260,F,2000,Removed,,2002/01/17,10.00,,2.00,F-340,F-260
A-564,,2000/01/26,F,R,E-683,R,2000,Removed,,2002/02/06,17.91,,2.08,B-390,E-683
C-258,,2000/01/28,F,I,D-534,I,2000,Removed,,2002/01/17,6.91,,2.00,F-332,D-534
B-023,,2000/01/29,M,R,D-242,KK,2000,Dead,2018/12/22,,4.91,18.91,,B-390,D-242
B-521,,2000/01/29,F,F,E-763,F,2000,Removed,,2002/01/23,15.91,,2.00,E-679,E-763
B-022,,2000/01/29,M,F,E-652,nLL,2000,Dead,2001/12/31,,18.91,1.91,,D-703,E-652
B-520,,2000/01/30,M,F,E-677,V,2000,Dead,2017/10/23,,18.58,17.75,,C-352,E-677
B-441,,2000/01/30,M,F,F-120,F,2000,Removed,,2002/01/29,12.75,,2.00,F-346,F-120
D-151,,2000/02/03,M,F,E-728,F,2000,Dead,2001/12/31,,17.00,1.83,,F-321,E-728
B-808,,2000/02/04,M,S,B-452,HH,2000,Removed,,2016/10/27,5.08,,16.66,D-660,B-452
A-126,,2000/02/05,M,F,A-610,nPP,2000,In CS,,,7.91,,,A-572,A-610
D-585,,2000/02/06,F,F,B-014,F,2000,In CS,,,6.08,,,C-352,
B-005,,2000/02/06,M,F,A-001,L,2000,Removed,,2002/01/29,7.08,,1.91,C-352,A-001
A-892,,2000/02/06,F,F,F-297,HH,2000,Dead,2001/12/31,,9.25,1.83,,F-182,F-297
B-481,,2000/02/06,M,F,A-959,F,2000,In CS,,,7.08,,,E-719,A-959
C-695,,2000/02/08,F,B,E-686,B,2000,Removed,,2002/02/08,18.08,,2.00,F-316,E-686
B-790,,2000/02/14,M,R,B-324,KK,2000,Dead,2008/05/19,,5.16,8.25,,F-291,B-324
A-623,,2000/02/14,F,F,E-625,F,2000,Dead,2001/12/31,,20.00,1.83,,A-515,E-625
A-183,,2000/02/16,F,R,B-514,R,2000,Removed,,2002/02/06,4.08,,2.00,E-708,B-514
D-692,,2000/02/17,M,S,F-202,V,2000,Dead,2005/10/27,,11.08,5.66,,F-244,F-202
C-361,,2000/02/17,M,B,F-293,B,2000,Removed,,2002/01/17,9.16,,1.91,E-692,F-293
C-758,,2000/02/17,F,C,C-230,C,2000,Removed,,2002/01/23,5.08,,1.91,D-971,C-230
B-829,,2000/02/18,M,R,D-686,R,2000,Removed,,2002/02/06,4.16,,2.00,F-135,D-686
D-586,,2000/02/22,F,E,F-290,E,2000,Removed,,2002/02/08,9.16,,2.00,A-938,F-290
C-322,,2000/02/22,F,R,E-647,R,2000,Dead,2020/08/29,,19.75,20.50,,F-108,E-647
D-981,,2000/02/23,M,S,E-078,S,2000,Dead,2004/01/29,,21.83,3.91,,F-244,E-078
A-603,,2000/02/24,F,S,F-367,S,2000,Removed,,2002/02/06,8.16,,2.00,F-035,F-367
C-737,,2000/02/24,M,B,F-086,B,2000,Removed,,2002/01/17,13.00,,1.91,F-316,F-086
F-384,,2000/02/25,M,R,E-621,rs,2000,Removed,,2001/01/17,20.00,,0.91,,
D-711,,2000/02/25,F,S,E-760,S,2000,Dead,2019/09/12,,16.08,19.58,,F-167,E-760
C-362,,2000/02/29,M,J,F-369,J,2000,Removed,,2002/03/01,8.08,,2.08,F-372,F-369
E-091,,2000/03/01,M,R,F-257,R,2000,Removed,,2002/02/06,10.16,,1.91,E-654,F-257
A-051,,2000/03/02,M,R,C-415,R,2000,Removed,,2002/02/06,4.08,,1.91,E-708,C-415
C-421,,2000/03/02,M,C,F-065,C,2000,Removed,,2002/01/23,13.08,,1.83,B-961,F-065
A-031,,2000/03/05,F,F,F-279,F,2000,Dead,2002/01/01,,10.08,1.83,,C-247,F-279
B-006,,2000/03/05,M,F,F-304,F,2000,Removed,,2002/02/26,9.00,,1.91,F-337,F-304
B-460,,2000/03/07,F,F,F-117,F,2000,Dead,2001/12/31,,13.08,1.75,,F-133,F-117
B-381,,2000/03/25,M,F,B-052,F,2000,Dead,2002/10/30,,7.16,2.58,,F-284,B-052
A-527,,2000/03/25,F,F,E-142,F,2000,Removed,,2002/02/01,21.08,,1.91,C-768,E-142
A-893,,2000/03/25,M,F,F-149,F,2000,Dead,2002/01/17,,12.08,1.83,,F-321,F-149
A-087,,2000/03/25,F,F,A-573,F,2000,In CS,,,6.08,,,F-337,A-573
D-566,,2000/04/13,F,J,E-059,J,2000,Removed,,2002/02/06,6.25,,1.83,F-372,E-059
B-851,,2000/11/05,F,CC,D-536,CC,2001,Removed,,2003/01/23,6.83,,2.16,F-017,D-536
D-113,,2000/11/13,F,S,F-144,S,2001,Dead,2003/12/03,,12.91,3.08,,A-571,F-144
D-567,,2000/11/13,M,R,A-039,V,2001,In CS,,,8.83,,,F-108,A-039
D-114,,2000/11/13,F,EE,B-859,EE,2001,Removed,,2003/01/30,7.83,,2.16,B-839,B-859
H-326,,2000/11/13,F,JJ,F-124,JJ,2001,Dead,2000/12/18,,12.83,0.08,,,
C-782,,2000/11/14,M,BB,F-068,BB,2001,Removed,,2003/01/28,13.91,,2.16,E-744,F-068
C-302,,2000/11/14,F,LL,F-282,F,2001,Removed,,2003/01/22,9.83,,2.16,E-428,F-282
D-153,,2000/11/14,M,S,B-899,V,2001,Dead,2011/02/17,,7.66,10.25,,A-900,B-899
H-319,,2000/11/14,F,S,F-029,rs,2001,Removed,,2002/02/22,14.75,,1.25,,
H-275,,2000/11/14,M,DD,A-097,DD,2001,Removed,,,5.75,,,,
C-323,,2000/11/15,F,BB,B-800,BB,2001,Removed,,2003/01/30,6.91,,2.16,F-266,B-800
